DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00437', 'hsa1559')	0.9966666666666667	1	0
('D03670', 'hsa51302')	0.9966666666666667	1	0
('D00574', 'hsa1589')	0.9933333333333333	1	0
('D00528', 'hsa1549')	0.9933333333333333	1	0
('D00410', 'hsa1583')	0.9833333333333333	1	0
('D00437', 'hsa1585')	0.9833333333333333	1	0
('D00410', 'hsa1543')	0.98	1	0
('D00043', 'hsa1991')	0.97	1	0
('D00947', 'hsa4129')	0.9566666666666667	1	0
('D01223', 'hsa3988')	0.9566666666666667	1	0
('D03670', 'hsa4353')	0.95	1	0
('D05458', 'hsa4128')	0.95	1	0
('D03670', 'hsa1579')	0.9433333333333334	1	0
('D00139', 'hsa1543')	0.9366666666666666	1	0
('D00043', 'hsa1990')	0.9333333333333333	1	0
('D00410', 'hsa1585')	0.9266666666666666	1	0
('D04028', 'hsa8398')	0.9233333333333333	1	0
('D00542', 'hsa1571')	0.91	1	0
('D00002', 'hsa4191')	0.9066666666666666	1	0
('D00691', 'hsa8654')	0.9066666666666666	1	0
('D00691', 'hsa5150')	0.9	1	0
('D00160', 'hsa5547')	0.8966666666666666	1	0
('D03823', 'hsa590')	0.8933333333333333	1	0
('D03670', 'hsa9420')	0.8933333333333333	1	0
('D00142', 'hsa2356')	0.8933333333333333	1	0
('D00054', 'hsa1020')	0.89	1	0
('D00691', 'hsa50940')	0.8866666666666667	1	0
('D00449', 'hsa5742')	0.8866666666666667	1	0
('D00043', 'hsa5624')	0.8766666666666667	1	0
('D00691', 'hsa5152')	0.8766666666666667	1	0
('D00054', 'hsa107')	0.8733333333333333	1	0
('D00577', 'hsa7173')	0.8733333333333333	1	0
('D00097', 'hsa5743')	0.86	1	0
('D00055', 'hsa5051')	0.8533333333333334	1	0
('D00537', 'hsa759')	0.85	1	0
('D00401', 'hsa8288')	0.85	1	0
('D00533', 'hsa1559')	0.8466666666666667	1	0
('D00131', 'hsa8854')	0.8433333333333334	1	0
('D00126', 'hsa247')	0.84	1	0
('D04028', 'hsa51365')	0.8366666666666667	1	0
('D00029', 'hsa57176')	0.8333333333333334	1	0
('D00332', 'hsa189')	0.8233333333333334	1	0
('D00893', 'hsa1576')	0.82	1	0
('D02769', 'hsa29941')	0.8166666666666667	1	0
('D00503', 'hsa1544')	0.8033333333333333	1	0
('D00097', 'hsa7173')	0.7933333333333333	1	0
('D00045', 'hsa5051')	0.7933333333333333	1	0
('D00528', 'hsa50940')	0.7833333333333333	1	0
('D00217', 'hsa7173')	0.7833333333333333	1	0
('D04028', 'hsa4023')	0.78	1	0
('D00155', 'hsa107')	0.7733333333333333	1	0
('D00217', 'hsa2878')	0.7733333333333333	1	0
('D03751', 'hsa590')	0.7733333333333333	1	0
('D03670', 'hsa7173')	0.7666666666666667	1	0
('D00342', 'hsa4837')	0.7666666666666667	1	0
('D00562', 'hsa2326')	0.7666666666666667	1	0
('D01842', 'hsa5447')	0.7666666666666667	1	0
('D00515', 'hsa54677')	0.7633333333333333	1	0
('D00423', 'hsa84532')	0.75	1	0
('D00160', 'hsa1803')	0.7466666666666667	1	0
('D00501', 'hsa5150')	0.74	1	0
('D01118', 'hsa43')	0.7366666666666667	1	0
('D00550', 'hsa1557')	0.73	1	0
('D03670', 'hsa2879')	0.73	1	0
('D00005', 'hsa36')	0.7266666666666667	1	0
('D00733', 'hsa43')	0.72	1	0
('D00401', 'hsa4025')	0.72	1	0
('D00002', 'hsa218')	0.72	1	0
('D02769', 'hsa5422')	0.72	1	0
('D00550', 'hsa51')	0.7133333333333334	1	0
('D02335', 'hsa9601')	0.7133333333333334	1	0
('D03670', 'hsa51004')	0.7133333333333334	1	0
('D02566', 'hsa84695')	0.71	1	0
('D00094', 'hsa444')	0.7	1	0
('D00039', 'hsa587')	0.6933333333333334	1	0
('D00043', 'hsa1504')	0.6866666666666666	1	0
('D00160', 'hsa1200')	0.6833333333333333	1	0
('D00160', 'hsa5476')	0.6766666666666666	1	0
('D00126', 'hsa246')	0.6766666666666666	1	0
('D00454', 'hsa1576')	0.67	1	0
('D03763', 'hsa224')	0.67	1	0
('D00624', 'hsa4067')	0.6633333333333333	1	0
('D00037', 'hsa4190')	0.65	1	0
('D00423', 'hsa3615')	0.6433333333333333	1	0
('D00039', 'hsa223')	0.6433333333333333	1	0
('D00501', 'hsa50940')	0.64	1	0
('D00364', 'hsa1565')	0.6333333333333333	1	0
('D04028', 'hsa25796')	0.6333333333333333	1	0
('D00002', 'hsa5836')	0.6233333333333333	1	0
('D03670', 'hsa2880')	0.62	1	0
('D00097', 'hsa1147')	0.6166666666666667	1	0
('D01907', 'hsa270')	0.6066666666666667	1	0
('D00005', 'hsa2328')	0.6033333333333334	1	0
('D00160', 'hsa5624')	0.6	1	0
('D00545', 'hsa1571')	0.5966666666666667	1	0
('D00387', 'hsa1565')	0.5966666666666667	1	0
('D02769', 'hsa3939')	0.5933333333333334	1	0
('D00005', 'hsa9601')	0.5933333333333334	1	0
('D03433', 'hsa279')	0.59	1	0
('D00160', 'hsa327')	0.59	1	0
('D00002', 'hsa3614')	0.59	1	0
('D03643', 'hsa4128')	0.5866666666666667	1	0
('D00029', 'hsa4329')	0.58	1	0
('D04966', 'hsa3480')	0.5766666666666667	1	0
('D01136', 'hsa5327')	0.5733333333333334	1	0
('D03753', 'hsa218')	0.5733333333333334	1	0
('D00043', 'hsa670')	0.5733333333333334	1	0
('D02671', 'hsa1576')	0.5633333333333334	1	0
('D02304', 'hsa196883')	0.5566666666666666	1	0
('D00002', 'hsa219')	0.5533333333333333	1	0
('D00965', 'hsa1728')	0.55	1	0
('D02323', 'hsa1645')	0.5433333333333333	1	0
('D00005', 'hsa4128')	0.5366666666666666	1	0
('D00560', 'hsa6646')	0.5366666666666666	1	0
('D00217', 'hsa1562')	0.5366666666666666	1	0
('D00560', 'hsa8435')	0.5366666666666666	1	0
('D04292', 'hsa590')	0.53	1	0
('D00160', 'hsa5445')	0.5266666666666666	1	0
('D02835', 'hsa10327')	0.52	1	0
('D01346', 'hsa5408')	0.52	1	0
