hsa10161	hsa10800	hsa11255	hsa1128	hsa1129	hsa1131	hsa1132	hsa1133	hsa1234	hsa1241	hsa1268	hsa134	hsa135	hsa136	hsa140	hsa146	hsa147	hsa148	hsa150	hsa151	hsa152	hsa153	hsa154	hsa155	hsa1812	hsa1813	hsa1814	hsa1815	hsa1816	hsa185	hsa1909	hsa1910	hsa222545	hsa23620	hsa2550	hsa2846	hsa2911	hsa2912	hsa2913	hsa2914	hsa2915	hsa2916	hsa2917	hsa2918	hsa3269	hsa3274	hsa3350	hsa3351	hsa3352	hsa3354	hsa3355	hsa3356	hsa3357	hsa3358	hsa3360	hsa3361	hsa3362	hsa3363	hsa338442	hsa3577	hsa4543	hsa4985	hsa4986	hsa4988	hsa5028	hsa5029	hsa5030	hsa5031	hsa5032	hsa552	hsa554	hsa56413	hsa57105	hsa5724	hsa5729	hsa5731	hsa5732	hsa5733	hsa5737	hsa5739	hsa59340	hsa6010	hsa64805	hsa6751	hsa6752	hsa6753	hsa6755	hsa6915	hsa7201	hsa8843	hsa886	hsa887	hsa9052	hsa9283	hsa9934
hsa10161	1	0.734668921771257	0.635060683266804	0.656713282992054	0.719229938434615	0.717442241476391	0.693224443708488	0.699880603622938	0.726445045697522	0.609611141175276	0.723318693593865	0.685868033006957	0.655982954840341	0.682515115396234	0.711988000665381	0.605684350271715	0.675094731918995	0.717266710760864	0.637506828909395	0.634167575272866	0.595425850438275	0.595807682090971	0.715155084487669	0.571150086931441	0.723402623520278	0.720085175588782	0.693230437023475	0.544803657789134	0.698051421321357	0.728493474077497	0.718236834986949	0.695205932353508	0.740239692198762	0.628790825546617	0.698056791412338	0.767665341748846	0.704885872112064	0.670672252885525	0.729239464639581	0.702830546894378	0.699256588617562	0.66193800290335	0.708173757124213	0.717809053727613	0.705080780911604	0.713701148910466	0.679380986334766	0.70401620046097	0.686046455972423	0.696405283025762	0.705983330940218	0.715140310730552	0.724403679705049	0.711244046632758	0.720005769099765	0.695171536625892	0.593747388346087	0.701041153629695	0.71208022655475	0.696929415482533	0.69829793826373	0.669243996323349	0.727607265466295	0.729736994536338	0.725328549398255	0.651663977448671	0.654782756171815	0.60808124347594	0.585129761513657	0.701383408842889	0.603731154997236	0.525961897848925	0.722423474494344	0.733078773897825	0.639529200627216	0.523924076150559	0.646961200129347	0.671946472725963	0.700959003320229	0.595178220618221	0.669588429949664	0.700126105296749	0.735991079646428	0.685383924645657	0.732441599968187	0.640555480501457	0.634703204357767	0.609836349928466	0.7363230180143	0.719406603252571	0.710902352226926	0.631963359311503	0.68660103604575	0.668956943471557	0.728187001292547
hsa10800	0.734668921771257	1	0.654297262059103	0.674656943239583	0.711423855572468	0.714091827840112	0.695823652548096	0.710128443139196	0.723691124030549	0.639878585120431	0.733931034619486	0.696860676547909	0.667750857608892	0.697612328341408	0.711980979784235	0.628265384063537	0.684468588899062	0.725649166234909	0.640860757679619	0.645774249777051	0.603082138880501	0.617433940428037	0.719821477179442	0.592939839358281	0.715327590958146	0.727015029420981	0.707512554855002	0.571965804579864	0.690800796710849	0.72743094680499	0.70778056884561	0.707024609164106	0.735986596922384	0.666711733632187	0.709301329650663	0.72731256536586	0.71732610061811	0.681722956937532	0.732981417088386	0.712917409023655	0.704386803209119	0.676338114947302	0.713134558740588	0.722119123240362	0.716705322036532	0.713231948705147	0.689172318302662	0.707379045278351	0.676442892026432	0.69245582652893	0.713983816858429	0.723162706034943	0.733125240384288	0.715328321852955	0.718209842705125	0.714855010461024	0.628672554998727	0.712628352778521	0.708865368377675	0.702946320267269	0.711894267805735	0.67597713928715	0.716277117799257	0.712508797431912	0.729760306658934	0.666126054604331	0.674943477044215	0.624570424122568	0.623180883489785	0.699841849756004	0.625055588516074	0.567435012989745	0.725976508200889	0.737913259793417	0.667082949858621	0.55415617082183	0.653303025834367	0.682100693707268	0.710218914860955	0.623877766498344	0.681259664973124	0.702885138857803	0.729222885956984	0.699044302235132	0.725704742280746	0.658605991033062	0.660007119424087	0.634324522142324	0.733070489354692	0.715634995062191	0.713352341814168	0.651705278328953	0.703925094806746	0.686504533327428	0.730168754394988
hsa11255	0.635060683266804	0.654297262059103	1	0.744763525554612	0.670762442726906	0.718746514583639	0.722515151181385	0.717233954561833	0.676351835981393	0.753774072232151	0.704642648280691	0.700872153828699	0.730153254637343	0.713074040807281	0.659729315614193	0.762013115308293	0.753630361300328	0.725449011580437	0.739845334247025	0.737183193892233	0.748968301808891	0.748121811994685	0.692623799893061	0.73439588672743	0.71935167703966	0.705480915938632	0.723779804131279	0.725031705074371	0.729369467823557	0.670196768142252	0.651724972783106	0.712014172615535	0.681906622124501	0.739538676691508	0.741719738246479	0.66586392845134	0.740476805655316	0.766080164111909	0.727217119515257	0.740684343834539	0.749588297533718	0.763547052475236	0.717083328101326	0.715160159626769	0.712180238679959	0.709050048486819	0.734731013628579	0.713437223704308	0.70027977087641	0.681649978782712	0.675421740246482	0.694580481615935	0.692613073699252	0.68159043224158	0.710094599866679	0.731022206406739	0.746376296724918	0.732289180986537	0.68642938230262	0.695937546733838	0.688618797962204	0.738866398991119	0.687813694735921	0.683654011294338	0.711454454018964	0.72423755083751	0.723787113542452	0.710619243776962	0.743156762138077	0.723319129097285	0.746871767819685	0.728384818799596	0.69045298769776	0.665017448784054	0.721962972107048	0.738669819343487	0.731704096051828	0.745362956810441	0.693072078356996	0.749782645470097	0.702626990155147	0.688092500919237	0.642190446787139	0.729481641833203	0.676142529247656	0.725891603604628	0.734046747566224	0.733636380817951	0.679491035346705	0.689178956815106	0.724547834240886	0.741757861220549	0.716973365254914	0.740773685517027	0.640056171621598
hsa1128	0.656713282992054	0.674656943239583	0.744763525554612	1	0.72426342024228	0.760203625391378	0.752918597432982	0.775555678823269	0.692473680494987	0.715362967423818	0.719865814169619	0.699316323652411	0.71438713852504	0.702869065413878	0.678433573048392	0.714521112412817	0.753773705978319	0.732244029361292	0.731384888087117	0.738941390044613	0.692145365318285	0.713628408296866	0.703506970757411	0.713319520066559	0.718741462242866	0.725147725538311	0.72920742529948	0.690808127526854	0.722541046570368	0.690675222670717	0.682968775226027	0.733162447957243	0.712222439384762	0.735529030129924	0.760516765418666	0.686294362544718	0.756879944517234	0.751733213579459	0.74622244584686	0.758767107273223	0.752722376334175	0.757584867051899	0.742026334667844	0.739889689009589	0.741239833456797	0.726239914991472	0.74328696218147	0.737773326011862	0.70615066958723	0.707996830685571	0.704998387890646	0.708114069753069	0.730399220687023	0.701985228472216	0.722901828280347	0.734953428369308	0.726743077864615	0.7353940047065	0.687791076216524	0.705147326242123	0.67487747063644	0.718456316828308	0.697035180199613	0.710640704825866	0.714893134390944	0.719993195436307	0.722699384034598	0.706744468745864	0.705971154192519	0.730684442576135	0.721154381174254	0.698268604378866	0.704887390573311	0.681540903574142	0.72153692405751	0.686592557970919	0.724154017233851	0.742092954065979	0.698479368609314	0.71612006608789	0.681775031737235	0.690752746543946	0.679567193153082	0.719979784267405	0.694965311671764	0.714788546874795	0.697194803897154	0.715669333648042	0.702790440813878	0.689994653478119	0.747142603826856	0.73490756973923	0.728693276684756	0.750981898601581	0.656963801046781
hsa1129	0.719229938434615	0.711423855572468	0.670762442726906	0.72426342024228	1	0.765365657543869	0.769038487400645	0.760828537341896	0.696604074914683	0.633627752602059	0.734159587021638	0.705193723355972	0.686011288274871	0.697425092703983	0.699288287583905	0.652664419226405	0.709717815591726	0.733178606111883	0.676088719209829	0.680033776148341	0.631414586429974	0.650351250891955	0.727401555793175	0.621904998548704	0.737007410919949	0.737949383977193	0.713102948605502	0.610581623528152	0.729632157429729	0.7136837474483	0.713895528826857	0.719189128102082	0.746587660996311	0.661730034424204	0.732779184781573	0.717470576908839	0.742499047137905	0.705234773726544	0.751344016825035	0.739688176153178	0.742903582557094	0.708688200677861	0.750874211827649	0.750042999036524	0.731997703036626	0.722584997116951	0.725991316865975	0.73621828873795	0.698835479209607	0.706878195657604	0.72304240039882	0.735701237673639	0.73766603666677	0.73574557997104	0.726605597097701	0.71491927059719	0.640752025441151	0.726216547072299	0.691442307408997	0.682892961442934	0.707567818717455	0.695564221306878	0.729471481670396	0.741943858650891	0.720306368975054	0.657543528822905	0.655007267519838	0.635606679387307	0.63374995283842	0.731298375981735	0.646916621818453	0.570753354353074	0.700562294073574	0.716069734539654	0.638288491105567	0.577234601625238	0.659275256836377	0.691465992445762	0.700492300505596	0.630026036572271	0.669735763963491	0.705956841071642	0.711054059781521	0.706145769460883	0.740693864631272	0.678961702458846	0.667064682915203	0.626756938547899	0.747762596656964	0.701982214005674	0.720519103810116	0.659428662591968	0.693641642760151	0.701194733027014	0.707254491214793
hsa1131	0.717442241476391	0.714091827840112	0.718746514583639	0.760203625391378	0.765365657543869	1	0.755087303902243	0.782442757038973	0.716080758218255	0.677793796984581	0.753710207337333	0.699752898284368	0.701329589891832	0.698892283019215	0.702163320764144	0.679562283437995	0.743618280201654	0.750493392405161	0.701536116466118	0.7120010463187	0.659986438754551	0.676834690543646	0.738194522175102	0.647662129003063	0.754393353682835	0.74567320734528	0.729217070660029	0.625865291412608	0.73897690223592	0.728274332355252	0.717211212809273	0.733050400960367	0.758379585336247	0.694760175634036	0.765577457267449	0.733336876082071	0.764954076392063	0.733748771308409	0.768495426054801	0.760967406031243	0.768193939192464	0.736815141481105	0.759961558070821	0.766606381602024	0.757153629112626	0.738098390218921	0.737184557408748	0.752590493451077	0.731080363583144	0.738626443259164	0.745463501192546	0.761597912700667	0.75903380518099	0.723459312362374	0.73892509347353	0.735801648895432	0.683045082864859	0.739460722723332	0.71027930548611	0.704671997352012	0.699935678124462	0.704272527544396	0.725952796873695	0.743007758270111	0.736339323391513	0.684315876037463	0.690395778684852	0.670907796563911	0.666999137342195	0.744796902390173	0.682594579019353	0.617862706950496	0.723308216580246	0.711255053782924	0.681424021960892	0.626584630893556	0.704362661037155	0.733993114172675	0.729234370627133	0.672739654877276	0.721030188408408	0.704248673725773	0.721455921524053	0.715510837052659	0.735552269521784	0.683754085348196	0.670987893589075	0.672855916122261	0.740461613029391	0.719857456818555	0.751804468547192	0.687964147563549	0.722249173591808	0.730571700295151	0.716769502477775
hsa1132	0.693224443708488	0.695823652548096	0.722515151181385	0.752918597432982	0.769038487400645	0.755087303902243	1	0.771796252471602	0.697624465320198	0.692168137213347	0.728164297902258	0.720618170427061	0.714010682667702	0.72001622559692	0.687075869018441	0.701284923387616	0.733933425079598	0.730762725591243	0.718253200600664	0.71210485438515	0.687036298154157	0.723336329832458	0.714230904328691	0.705331242222026	0.735846123574268	0.745553375592241	0.736362891989583	0.689189554445743	0.740468161870139	0.702547589075612	0.694382521526375	0.728531969324465	0.726123004332878	0.705142993056508	0.742670658304943	0.705980619987709	0.75003400508919	0.740216326978939	0.742922569909944	0.746385830615077	0.745629282161869	0.747936374306458	0.746162928056105	0.743332806743627	0.72995883118384	0.731494264052471	0.742155381265051	0.750130107508293	0.712659360858243	0.708499020519954	0.706081637496036	0.712341350741669	0.732581008395329	0.723874906987938	0.731495456074771	0.730439951101744	0.703431970382862	0.739713396597603	0.688819949411949	0.69686669664232	0.708649979930248	0.734043510645584	0.719864350217188	0.730620202495976	0.725308681947937	0.703535714009028	0.69326630285742	0.703818421768404	0.69748494533986	0.745169090788601	0.702548835326775	0.652851784394875	0.698304269128976	0.710801022239068	0.677929786709243	0.654292459821838	0.693788729195054	0.716463904160398	0.696899269773502	0.692313330562509	0.675919367379661	0.71506560630611	0.689588317846653	0.724224460519657	0.718266487302185	0.717396941126616	0.718109237317333	0.680184870635597	0.730327349094825	0.6963354603325	0.72727123964664	0.709253151595885	0.709383117314177	0.727548958750429	0.677893019659459
hsa1133	0.699880603622938	0.710128443139196	0.717233954561833	0.775555678823269	0.760828537341896	0.782442757038973	0.771796252471602	1	0.706859860799735	0.684593003985193	0.742118925463786	0.711070490181601	0.707523192121116	0.713553146850519	0.697781930841724	0.691870449070672	0.741326852864278	0.745165144643039	0.708561542944836	0.721608269144293	0.671932457254038	0.699463469309305	0.728412965299331	0.68009897849803	0.745292853452186	0.752246522814168	0.740140102588595	0.656290504031854	0.736794969659943	0.712144992014683	0.706367809099584	0.74116244437293	0.74320554694513	0.709746772726973	0.766412118981165	0.714127669000601	0.764133115392463	0.742620054992699	0.764758654873221	0.761293683755026	0.761364497253558	0.748035598567548	0.762769691927572	0.761960681847071	0.757090146950375	0.740691437891724	0.749077738915111	0.75396349749195	0.724686227528875	0.730390617884392	0.738698195211704	0.733557105251334	0.749464435837528	0.72641191856738	0.739914190801315	0.737374476883725	0.690817292484176	0.742865410999915	0.694672381445337	0.704500701269933	0.701342227177697	0.724888737563398	0.72347889178239	0.737059774036029	0.732879418968981	0.70546121647043	0.705587661821726	0.695743518884878	0.688280998596729	0.740502075867349	0.696827615397663	0.641766762010119	0.717498301265929	0.71039550017256	0.688024731166022	0.636412124544923	0.700091988511314	0.729571828421514	0.714558635127623	0.681780679930112	0.693353329287744	0.708724362546967	0.707214546345612	0.722574735585708	0.728796318742436	0.710121483223569	0.696917207963161	0.679444937235184	0.73990618772731	0.703821215253003	0.742110958716422	0.704741221446697	0.724448586570874	0.740333033093281	0.693115945878502
hsa1234	0.726445045697522	0.723691124030549	0.676351835981393	0.692473680494987	0.696604074914683	0.716080758218255	0.697624465320198	0.706859860799735	1	0.662475441684949	0.738617081211566	0.716672251983853	0.700981663030155	0.714835662261019	0.721013268644948	0.639751128715242	0.696926300149926	0.726398157949278	0.665254200825516	0.683717892157057	0.626925289931235	0.643118315475027	0.730869782113231	0.626349041586772	0.717353698073159	0.724339166972429	0.713392823892857	0.597267608034552	0.708058714201914	0.741322214975194	0.709030636916127	0.719268703281352	0.744951234320068	0.674593745580763	0.722866853841095	0.723332106142103	0.720457054694821	0.704289159473908	0.741795106972535	0.721658039005035	0.708868426144347	0.698692449824966	0.725981649323887	0.730524980054808	0.723519792345504	0.729761623564478	0.707266960083251	0.718680596112126	0.709199958814352	0.718721335945527	0.716593509949435	0.713809821301984	0.737251547346177	0.719396636322005	0.734963135225717	0.715201669104219	0.65582473625749	0.723559040454791	0.725226968719757	0.734120706478333	0.710611315331035	0.685602253609415	0.722671362304294	0.710521907255604	0.728990976044818	0.673511928516131	0.690401634990378	0.668341595783165	0.64865856474927	0.699654963760895	0.648641493537513	0.607623835562017	0.738516261071059	0.740478312898686	0.688001748374852	0.59720052354949	0.683564194669255	0.709360647252442	0.728482536769465	0.65270757914939	0.679158855260627	0.715602884341639	0.735323059346927	0.704170223978958	0.730056213710544	0.672716980131069	0.675949032361838	0.677167398134639	0.736484887312815	0.729039416298018	0.722939556788325	0.674638163077351	0.725224998967316	0.708626863656309	0.729769643026352
hsa1241	0.609611141175276	0.639878585120431	0.753774072232151	0.715362967423818	0.633627752602059	0.677793796984581	0.692168137213347	0.684593003985193	0.662475441684949	1	0.69139054382917	0.691494749068323	0.722437526252404	0.717185294007928	0.669200818367407	0.738348444043169	0.727982306266364	0.698608483925209	0.695006475901732	0.711262859923894	0.731553327482604	0.724292653604299	0.663955504725364	0.742568372984022	0.682859046408297	0.674715540091383	0.717282261210173	0.711035013315698	0.689752540673501	0.654490435820367	0.629002147163981	0.692520613217361	0.650130670605371	0.749443444710482	0.705225569471173	0.648114398417119	0.700001055876231	0.747620986389692	0.695227689107706	0.705604535294727	0.704564488319983	0.735689256452821	0.676731605092615	0.672710470760071	0.679808382173089	0.705718316775196	0.711740611090974	0.688337085466671	0.683588018500373	0.65155844836725	0.653345384321799	0.674933250215403	0.668955604901058	0.66391994603204	0.685139077857055	0.719126606357247	0.744297232234306	0.70903698022401	0.665121912805021	0.70966945502185	0.686565727246521	0.728244727052512	0.662065143467313	0.653397604004256	0.698902469684379	0.734113288382332	0.727797854221088	0.712257793810317	0.747217482152496	0.699566230043214	0.749661516181655	0.760019961122663	0.682027223360769	0.647850423665297	0.737965144356225	0.755957295051416	0.739945980835059	0.738282413095919	0.68950191519958	0.753845844384869	0.681512580847811	0.653070044430749	0.619720616621474	0.715743569165617	0.659835038778384	0.720061332321511	0.738490456665236	0.753680393146744	0.6594332430021	0.66409349888367	0.699503271269881	0.741632299095566	0.706459140705756	0.720130346421624	0.613093148376219
