hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.545605333370053	0.518451493446147	0.529905423339432	0.520274552028331	0.503319869278815	0.519005508328466	0.505548677039894	0.537953994221076	0.486918007862924	0.544780353350206	0.490229376650593	0.471532798186644	0.498725957636895	0.481233018345194	0.498986311263557	0.494493708203797	0.482509403148965	0.528947300917556	0.503090493306907	0.506969066108997	0.486527671804041	0.482707513199359	0.508310311784047	0.515926417392701	0.490766107530125
hsa2099	0.545605333370053	1	0.586653209862565	0.555868794647783	0.577790297290595	0.562201773085766	0.564565069088814	0.555164025922117	0.555809515740465	0.529391109831324	0.564734867655977	0.549693541439573	0.530790032836758	0.549673577245679	0.540504755889625	0.560584981342454	0.541382634829747	0.533149184224772	0.561779589760836	0.55815247631705	0.537287586005556	0.541885610210028	0.538141214073351	0.540199333334322	0.527042556216182	0.533206451333
hsa2100	0.518451493446147	0.586653209862565	1	0.544899147122658	0.576435777407176	0.56720105149314	0.561977015586031	0.551928911834362	0.51653861110341	0.549241874142105	0.53873109435256	0.539419975829131	0.520135434790579	0.536793264727034	0.53851930677921	0.534467937924345	0.536427264644843	0.519428533607654	0.54939404003768	0.556191358423614	0.506358810559774	0.546482588633636	0.545569165878271	0.530978003278593	0.507733179224612	0.526059129802665
hsa2101	0.529905423339432	0.555868794647783	0.544899147122658	1	0.575023027086937	0.552556224432993	0.504642154479256	0.492086746827195	0.533719964191422	0.472066096372157	0.56346234975014	0.513014150875176	0.485888760115573	0.499518150683044	0.48167251238073	0.530308746199896	0.494858131553841	0.475904997566429	0.536451106646579	0.522378431793264	0.541100654062245	0.509371954097409	0.491351279570656	0.513936603320094	0.517927904893506	0.489263661386377
hsa2103	0.520274552028331	0.577790297290595	0.576435777407176	0.575023027086937	1	0.620708986585615	0.573435299731672	0.550159809781941	0.542109818469121	0.551270802882307	0.561907706914586	0.559784884634025	0.554766352825861	0.561437314263787	0.554375027959492	0.56637275780008	0.546398219841838	0.53567761299238	0.568396625780338	0.568984812243231	0.547147656742722	0.542979187273229	0.557874143676329	0.529661880758098	0.51332089078771	0.52835855641981
hsa2104	0.503319869278815	0.562201773085766	0.56720105149314	0.552556224432993	0.620708986585615	1	0.570613710579272	0.548901653144122	0.510619422302328	0.542788695854384	0.533326063024859	0.565250740928471	0.560900827918484	0.541015995494902	0.540528372361342	0.539083841434147	0.542068629061112	0.535059194552664	0.540919139527259	0.558155891460102	0.504923841212842	0.540703591238398	0.56075141233991	0.515781515245371	0.4926138519198	0.528358731763426
hsa2908	0.519005508328466	0.564565069088814	0.561977015586031	0.504642154479256	0.573435299731672	0.570613710579272	1	0.560588720179518	0.542906409862259	0.599545122366736	0.558426958586213	0.558539866999207	0.550234093166459	0.570780300021112	0.570069473740126	0.561539587185596	0.554431471095166	0.548715298635008	0.547581068782199	0.569563363023561	0.516396961087632	0.540383664691413	0.555238436929746	0.524845144624251	0.506138513022748	0.550715852248039
hsa3174	0.505548677039894	0.555164025922117	0.551928911834362	0.492086746827195	0.550159809781941	0.548901653144122	0.560588720179518	1	0.508730369581841	0.540250326647693	0.519634969307199	0.531352611635547	0.540972357776985	0.532740692448559	0.536442460887875	0.526108138216056	0.547300841583798	0.541237877288887	0.546170506005522	0.546573471631374	0.499350230096075	0.543368707181507	0.540645713524995	0.520506841856136	0.514180456584905	0.534640503059472
hsa367	0.537953994221076	0.555809515740465	0.51653861110341	0.533719964191422	0.542109818469121	0.510619422302328	0.542906409862259	0.508730369581841	1	0.527499085033245	0.578411038135916	0.498771437730245	0.482206748818852	0.529269027437471	0.491856679893498	0.53208888807419	0.523234514416098	0.50305463523375	0.551875268147021	0.51427076377737	0.55722825270374	0.479938420425388	0.489344632669579	0.501573109543616	0.505152304292742	0.498278600535368
hsa4306	0.486918007862924	0.529391109831324	0.549241874142105	0.472066096372157	0.551270802882307	0.542788695854384	0.599545122366736	0.540250326647693	0.527499085033245	1	0.551259281838123	0.528321379927149	0.506409767156078	0.561662931990061	0.545475601619292	0.53804080192215	0.536447731693287	0.518258793752991	0.539241694661153	0.553982984432219	0.52442142019493	0.504642299908591	0.534499853786994	0.497058608984134	0.471001183204558	0.511150368358049
