hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.0067628766502132	0.0055581293595183	0.0140552048172356	0.0073303239368067	0.00397841596688574	0.00733638003094797	0.0156619064152448	0.00845036896642173	0.00255307938285962	0.0132477641730743	0.0038182612609316	0	0.00383464872362034	0	0.00582766019647653	0.0035420428557457	0.00774461150397025	0.0092635489325305	0.00792024860466487	0.0104087637048541	0.00675660252635564	0.00397841596688574	0.00198690964878348	0.00224554735389595	0.00378610690942214
hsa2099	0.0067628766502132	1	0.148429339715105	0.0278031828181907	0.0489389087344102	0.0531216185231121	0.00870743832807217	0.00968170806221685	0.0185733609648274	0.0138884682097178	0.0196544632767243	0.0226591822600369	0.0111990205018416	0.018963693680155	0.0290126170425127	0.0288198400435686	0.00875832710628662	0.0134049446993552	0.0146596878730968	0.0195842147788359	0.0308850099262722	0.0245034447480655	0.0236096082324943	0.0235823296465711	0.0111050255793343	0.0205960009716601
hsa2100	0.0055581293595183	0.148429339715105	1	0.0413481422090012	0.0436967481178211	0.0409634999678342	0.0222639958864572	0.0106093286657232	0.0193352603853411	0.0179862628896296	0.0215375901970142	0.0268993793461613	0.0184080260127681	0.0270148278566904	0.0317923642893131	0.0252648936035593	0.0115169724476774	0.012590824129147	0.0140562248995984	0.0150224277513327	0.0169220771296897	0.0195281168536131	0.0194037631426583	0.0172278613316373	0.0146028199307769	0.020517580172246
hsa2101	0.0140552048172356	0.0278031828181907	0.0413481422090012	1	0.241088338081897	0.245337817415269	0.0206817872612399	0.00229958592784581	0.0132345571359043	0.0104960856899204	0.0233415048667397	0.0134549441913619	0.0199498191224599	0.022521151663851	0.0206731101946691	0.0228174953500174	0.0166421260675572	0.00909692557673704	0.0261146161320008	0.0116290391178685	0.046867386882872	0.0132273280810236	0.0186924051364015	0.0186708078962185	0.0131882516940702	0.0133416373808783
hsa2103	0.0073303239368067	0.0489389087344102	0.0436967481178211	0.241088338081897	1	0.456365713607521	0.0157300773289828	0.00839525072283023	0.00503294528013954	0.0164223237959325	0.00852143784807424	0.0204670234650292	0.0161849170206489	0.0226103516882095	0.0230611007113741	0.0291554697755737	0.00949320505965044	0.0124540308701103	0.00993107911768662	0.019104706653951	0.0278970448105502	0.0169014590848854	0.0149278504451058	0.0106504305560857	0.00722208365167907	0.0121767999087646
hsa2104	0.00397841596688574	0.0531216185231121	0.0409634999678342	0.245337817415269	0.456365713607521	1	0.0153670457706706	0.0068345818976726	0.00874096153374287	0.0207968911226121	0.00924974794780259	0.0222162986656137	0.0131761569173682	0.0223116480250694	0.015929509565648	0.0158236644761059	0.00618274208536872	0.0135184517608969	0.0129358420951055	0.0207375473853499	0.0343188621370652	0.015725136593061	0.0162037037037037	0.00924856109363105	0.00783934056986331	0.0110146053571964
hsa2908	0.00733638003094797	0.00870743832807217	0.0222639958864572	0.0206817872612399	0.0157300773289828	0.0153670457706706	1	0.0117630612786323	0.0491621286845432	0.121625596568024	0.102341736058355	0.0213032900152408	0.00809914425722942	0.0148117298293584	0.0134284527140378	0.0166740326581065	0.0136815092084322	0.00830954667833218	0.00636114168184493	0.0169959914582465	0.00893442960436429	0.00579957345061475	0.00682979812029803	0.0119383371776484	0.00770992034233371	0.0129993173506492
hsa3174	0.0156619064152448	0.00968170806221685	0.0106093286657232	0.00229958592784581	0.00839525072283023	0.0068345818976726	0.0117630612786323	1	0.0139793512872245	0.0160819057186889	0.0182068300460407	0.0218648322278339	0.0216128456516013	0.0307421423969954	0.02911535980067	0.0289219001180317	0.0182547894821643	0.0177394494124005	0.0190967915983017	0.0521575474740308	0.0556309445887043	0.0541672658842712	0.0273383275906904	0.0295823025716633	0.0257177352712695	0.0346891264746866
hsa367	0.00845036896642173	0.0185733609648274	0.0193352603853411	0.0132345571359043	0.00503294528013954	0.00874096153374287	0.0491621286845432	0.0139793512872245	1	0.0820368947427311	0.0749495175649346	0.00734045049580268	0.00829240421596386	0.0284346824912368	0.00859304964536547	0.0224068748863762	0.0321016077803091	0.00638087040923894	0.0590234264394622	0.00978836961597373	0.038115087309137	0.00742245195993111	0.00764834134202501	0.00873086221028518	0.00616710369339766	0.00935824509679871
hsa4306	0.00255307938285962	0.0138884682097178	0.0179862628896296	0.0104960856899204	0.0164223237959325	0.0207968911226121	0.121625596568024	0.0160819057186889	0.0820368947427311	1	0.0949738427705688	0.0057027696006388	0.00563704664554202	0.0272044143158137	0.0219053276424037	0.0319143376650725	0.022483448617436	0.0260256952260916	0.0207533802572649	0.0325305714264304	0.0427515660256123	0.0134551112344084	0.0118839377843498	0.0103864311776738	0.0184461226493117	0.00989580448967706
