hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.129803933203986	0.112519017858958	0.13544731903583	0.11093622722598	0.101321462353706	0.125901473930438	0.114166925935366	0.1217837686893	0.117753022049004	0.157745420760152	0.0925864342774601	0.0883257777686039	0.104753977697689	0.0907548670636429	0.101778051815606	0.095988366278063	0.0883884590310302	0.119222933032096	0.103538214735285	0.120795928657911	0.093112490419973	0.0959544594466518	0.101093068092689	0.103399505330368	0.0992964871282442
hsa2099	0.129803933203986	1	0.216571449528643	0.165861343833627	0.173629113964927	0.161373660916478	0.163019708183034	0.144516518349278	0.159868158303634	0.160874307878497	0.190060111140379	0.140045973051547	0.1313967291091	0.152361655551219	0.147356000237215	0.159546454740077	0.137536029289134	0.126321347390335	0.147558871844607	0.145260133220124	0.160869916550586	0.135529553377655	0.133882798952497	0.129586793536236	0.119637729872825	0.135654033774388
hsa2100	0.112519017858958	0.216571449528643	1	0.165436786770045	0.171901967431228	0.159340523774143	0.161158276477037	0.13839353145988	0.128911135184387	0.166508181684239	0.162012940573077	0.13516991664185	0.121547620397781	0.144990592850514	0.145214821378023	0.140253963566769	0.133846463883782	0.120415855966961	0.136452263813713	0.143146655631782	0.134138088518096	0.139331532196319	0.134056684378166	0.122121501548267	0.112321594195175	0.123681574229602
hsa2101	0.13544731903583	0.165861343833627	0.165436786770045	1	0.245290532030738	0.236329329834038	0.149065285597337	0.122573649305248	0.146184067659652	0.137707249821525	0.19590736978018	0.135190036682553	0.120031798290832	0.13512702864327	0.122486620441692	0.149940207362904	0.129995082145588	0.113576244529687	0.142600664705667	0.139150432966921	0.174569233825508	0.131096770207079	0.123533222011841	0.134535884172066	0.134641543106332	0.123446255519566
hsa2103	0.11093622722598	0.173629113964927	0.171901967431228	0.245290532030738	1	0.323321745462162	0.172445673597004	0.140964647957651	0.140993367761835	0.173489685106881	0.173723314405804	0.147920615125449	0.148359417261275	0.159847390146655	0.151953993534602	0.161566862745107	0.135681626286244	0.131592620158035	0.148546259207817	0.149207207660431	0.162302144750326	0.127980321052134	0.140758449207938	0.12527316667925	0.11436831683102	0.129020857073543
hsa2104	0.101321462353706	0.161373660916478	0.159340523774143	0.236329329834038	0.323321745462162	1	0.154209227808315	0.128469531026077	0.121555343578844	0.158294735618055	0.153657425960116	0.141401635667305	0.137587614761417	0.141544080779678	0.132020484846233	0.136492287742489	0.125445334803746	0.11979097214381	0.12644570029246	0.142552041544878	0.138413279963205	0.124651986824788	0.137802297104296	0.109588861390024	0.102086224301107	0.120946608358214
hsa2908	0.125901473930438	0.163019708183034	0.161158276477037	0.149065285597337	0.172445673597004	0.154209227808315	1	0.148097288524941	0.171870952804595	0.246456308405854	0.22360282340641	0.150137989428432	0.145455546024447	0.166475862205621	0.163362584219635	0.166480978936538	0.151624427528071	0.141907392306444	0.145653458417701	0.161883715545989	0.149708859660156	0.132070317033453	0.145577034740222	0.128340086309461	0.11333056115696	0.145700848761988
hsa3174	0.114166925935366	0.144516518349278	0.13839353145988	0.122573649305248	0.140964647957651	0.128469531026077	0.148097288524941	1	0.115393939228079	0.152114054765069	0.151265359542671	0.119106351361941	0.129488322842091	0.136482136285133	0.133355204025045	0.130379685006907	0.125775779747136	0.118138201058373	0.13016711818863	0.152597613311568	0.143124965067895	0.144743827384824	0.122677048650913	0.114265361484663	0.113233782430265	0.135489613270449
hsa367	0.1217837686893	0.159868158303634	0.128911135184387	0.146184067659652	0.140993367761835	0.121555343578844	0.171870952804595	0.115393939228079	1	0.175349325844417	0.212100039866712	0.109316144420444	0.104006134721737	0.14253012766239	0.105948680432555	0.135007171006857	0.137415691063512	0.114610207942482	0.163455844939449	0.11567183582453	0.185427873414968	0.0961425455091272	0.111279035838099	0.104352711455914	0.106444176667799	0.109729654425477
hsa4306	0.117753022049004	0.160874307878497	0.166508181684239	0.137707249821525	0.173489685106881	0.158294735618055	0.246456308405854	0.152114054765069	0.175349325844417	1	0.22482444575627	0.143901085439492	0.127843686344505	0.181113796976032	0.164073317749041	0.1615674472169	0.154042790268347	0.141871057077573	0.159333017343472	0.168454597851718	0.183149100442068	0.12894817937623	0.145699922608945	0.126431298234359	0.118632480667715	0.141280053151001
hsa5241	0.157745420760152	0.190060111140379	0.162012940573077	0.19590736978018	0.173723314405804	0.153657425960116	0.22360282340641	0.151265359542671	0.212100039866712	0.22482444575627	1	0.139946629424363	0.127394489481807	0.182842741448717	0.156044159695094	0.180136906517836	0.149844654365733	0.129814435453721	0.169416304922982	0.153591116673197	0.219545936037667	0.124497975798694	0.143638219716823	0.141157703391522	0.138381228193729	0.135031295324457
hsa5465	0.0925864342774601	0.140045973051547	0.13516991664185	0.135190036682553	0.147920615125449	0.141401635667305	0.150137989428432	0.119106351361941	0.109316144420444	0.143901085439492	0.139946629424363	1	0.229180726193231	0.143999272473872	0.154471529965026	0.144522948254769	0.140649605859086	0.134146685640745	0.134344585609503	0.136962672533776	0.11954066982547	0.129878351991432	0.133531314760464	0.128718748889105	0.104538513395378	0.131639131588686
hsa5468	0.0883257777686039	0.1313967291091	0.121547620397781	0.120031798290832	0.148359417261275	0.137587614761417	0.145455546024447	0.129488322842091	0.104006134721737	0.127843686344505	0.127394489481807	0.229180726193231	1	0.126340948258565	0.139124810833044	0.133727752314158	0.14713757380907	0.144118453197977	0.138744470892416	0.1361830689405	0.109261145381973	0.127383178757682	0.136862458813707	0.130854325576586	0.115131820316107	0.13409674124291
hsa5914	0.104753977697689	0.152361655551219	0.144990592850514	0.13512702864327	0.159847390146655	0.141544080779678	0.166475862205621	0.136482136285133	0.14253012766239	0.181113796976032	0.182842741448717	0.143999272473872	0.126340948258565	1	0.342553542619854	0.325602383782111	0.141744235366116	0.132460855325416	0.1440202421663	0.151815918867454	0.178961834258313	0.129997082198904	0.144470149517159	0.126508160057161	0.12049054945357	0.132253105334784
hsa5915	0.0907548670636429	0.147356000237215	0.145214821378023	0.122486620441692	0.151953993534602	0.132020484846233	0.163362584219635	0.133355204025045	0.105948680432555	0.164073317749041	0.156044159695094	0.154471529965026	0.139124810833044	0.342553542619854	1	0.333952862265938	0.149166800023581	0.135814744539081	0.140594563025586	0.147910759709735	0.140208453147628	0.137548008609149	0.136266558182519	0.128636017030745	0.113076770869239	0.141286551834294
hsa5916	0.101778051815606	0.159546454740077	0.140253963566769	0.149940207362904	0.161566862745107	0.136492287742489	0.166480978936538	0.130379685006907	0.135007171006857	0.1615674472169	0.180136906517836	0.144522948254769	0.133727752314158	0.325602383782111	0.333952862265938	1	0.14464825963549	0.129199010160452	0.152200347772971	0.160227073730126	0.178850952551891	0.136301678600945	0.132975435155459	0.132634539242455	0.129203228752802	0.136130229853512
hsa6095	0.095988366278063	0.137536029289134	0.133846463883782	0.129995082145588	0.135681626286244	0.125445334803746	0.151624427528071	0.125775779747136	0.137415691063512	0.154042790268347	0.149844654365733	0.140649605859086	0.14713757380907	0.141744235366116	0.149166800023581	0.14464825963549	1	0.242057452213787	0.217131710965628	0.13683795526908	0.128442025529168	0.134113397874304	0.135474587567247	0.125198809164114	0.125890613784767	0.14098344238663
